,UserID,Item1,Item2,bitClassification
0,1963,1503,2798,0
1,5951,1098,1511,0
2,1254,366,3523,1
3,2738,1546,197,1
4,3527,406,3527,0
5,1169,2409,1264,0
6,3496,3666,500,0
7,1684,109,848,1
8,2968,1568,531,1
9,657,1642,2446,1
10,4876,375,1948,1
11,5052,2459,1043,0
12,4841,1503,1095,1
13,1647,2935,639,1
14,727,2577,1555,1
15,1160,3484,733,1
16,3851,1291,3249,1
17,3551,952,1900,1
18,384,223,2458,1
19,3046,3098,2411,1
20,1775,896,320,1
21,4113,3415,142,0
22,3967,880,90,1
23,156,2836,3390,0
24,4840,745,307,1
25,3912,3668,3671,0
26,2547,1462,2507,0
27,5293,2936,531,0
28,4036,1486,170,1
29,3286,1689,840,1
30,3627,2445,951,0
31,1749,1391,602,1
32,4862,1308,312,0
33,3563,3110,2032,1
34,1814,1152,161,1
35,3757,40,3635,0
36,102,3523,1759,0
37,3497,135,776,0
38,2479,3675,287,1
39,5450,3373,2705,0
40,5296,2697,926,0
41,2853,244,2348,0
42,5124,1154,126,0
43,1367,647,3500,0
44,3390,675,2870,1
45,4967,2640,1268,0
46,1589,995,1486,0
47,2386,2240,3016,0
48,1374,1934,2107,1
49,4057,3618,2102,1
50,5184,1880,2793,1
51,1929,634,2175,0
52,1932,3096,2054,0
53,4313,2433,2582,0
54,2761,3208,276,1
55,5190,2080,510,1
56,5408,423,1974,0
57,3048,2700,2326,0
58,31,2754,840,1
59,496,1857,3274,1
60,1021,28,1958,0
61,5541,2263,1603,1
62,1226,3370,538,1
63,1950,109,1253,1
64,2178,2270,2214,1
65,2598,3429,2099,1
66,520,221,479,1
67,3723,3429,963,0
68,3399,2641,532,1
69,61,3015,829,1
70,4092,299,2422,0
71,2170,274,1268,0
72,3894,1130,2402,0
73,5485,723,287,1
74,1603,2626,3020,0
75,1866,1922,3125,0
76,5703,829,2248,0
77,4024,290,3226,0
78,1710,287,3390,0
79,4369,1892,647,1
80,3607,3200,452,0
81,1607,1596,28,0
82,595,274,3604,0
83,1157,2986,736,0
84,1723,898,1596,1
85,5031,1918,3450,0
86,1616,90,726,1
87,3930,361,1265,0
88,3571,1284,1438,1
89,3605,2246,2738,0
90,5101,2909,630,1
