,UserID,Item1,Item2,bitClassification
0,1963,987,1436,1
1,5951,1080,872,0
2,1254,90,192,1
3,2738,3003,1945,0
4,3527,351,2744,1
5,1169,2758,2652,1
6,3496,466,423,1
7,1684,319,219,0
8,2968,1179,3128,1
9,657,127,1761,0
10,4876,603,2458,0
11,5052,2207,1976,1
12,4841,575,397,0
13,1647,1154,44,0
14,727,1934,2000,0
15,1160,2172,2944,0
16,3851,1300,3062,1
17,3551,3430,2827,1
18,384,190,3675,1
19,3046,944,718,1
20,1775,3402,3393,0
21,4113,60,2428,0
22,3967,1268,3686,0
23,156,3062,3024,0
24,4840,3693,1380,1
25,3912,3334,501,1
26,2547,3320,3289,1
27,5293,1865,423,1
28,4036,842,910,0
29,3286,3273,960,0
30,3627,3064,1083,0
31,1749,515,532,1
32,4862,872,863,1
33,3563,3028,1614,0
34,1814,2975,408,1
35,3757,1571,2855,1
36,102,1076,771,0
37,3497,3272,1784,1
38,2479,37,797,0
39,5450,1030,1113,1
40,5296,2191,408,1
41,2853,991,1,1
42,5124,751,2161,0
43,1367,929,2986,1
44,3390,65,1348,0
45,4967,1365,3244,1
46,1589,2598,2953,1
47,2386,562,1879,1
48,1374,32,634,1
49,4057,71,497,0
50,5184,3096,3216,1
51,1929,2877,147,0
52,1932,2051,1441,1
53,4313,619,2100,0
54,2761,3412,2080,1
55,5190,1256,1906,1
56,5408,2035,359,0
57,3048,3154,3002,0
58,31,2709,1690,1
59,496,1835,2108,0
60,1021,2040,3547,1
61,5541,1734,3591,0
62,1226,962,1901,0
63,1950,1743,2643,0
64,2178,2143,3314,0
65,2598,3076,2709,1
66,520,2273,2330,0
67,3723,1450,1486,1
68,3399,3365,351,0
69,61,2795,129,1
70,4092,2168,1532,0
71,2170,2462,1334,0
72,3894,2464,3668,0
73,5485,1471,2889,1
74,1603,19,1361,1
75,1866,2281,3400,1
76,5703,3700,920,1
77,4024,1218,1221,0
78,1710,3269,1418,0
79,4369,2524,3271,0
80,3607,3352,2581,0
81,1607,2819,349,1
82,595,629,1394,0
83,1157,1584,3376,0
84,1723,2249,2473,1
85,5031,1900,1209,0
86,1616,3421,184,1
87,3930,2303,1225,1
88,3571,133,3622,0
89,3605,700,96,0
90,5101,440,3457,1
91,3333,3210,2394,1
92,2822,172,1618,1
93,1967,3032,1108,0
94,5568,3677,2068,0
95,931,2083,3005,1
96,3471,178,3099,0
97,85,1175,1310,1
98,1133,2877,1464,0
99,949,988,2834,0
100,4723,2744,1243,1
101,2650,1584,72,0
102,1303,18,447,0
103,439,1832,2174,0
104,4627,3314,1622,1
105,5163,3274,3675,0
106,2223,1160,1594,0
107,357,2006,1380,1
108,129,270,192,1
109,4525,3312,2146,0
110,2177,1009,3104,1
111,5312,3432,1148,0
112,4714,3369,734,1
113,3874,1892,216,0
114,655,1388,1076,1
115,4955,2476,349,0
116,5698,107,1253,1
117,1375,1507,3194,0
118,5484,572,60,1
119,5492,995,787,0
120,3854,3435,3273,0
121,1158,2888,182,0
122,4296,1560,2769,0
123,113,380,2379,1
124,4966,184,990,0
125,2591,240,1909,0
126,361,715,3435,1
127,3344,406,987,0
128,1413,1140,1392,0
129,987,3623,423,1
130,4848,472,1611,1
131,4655,2287,3504,0
132,5844,3598,1660,0
133,1393,1239,2018,0
134,1872,2824,129,1
135,6023,1318,2798,1
136,5972,2822,241,1
137,694,1961,681,1
138,3028,2721,1695,1
139,1207,288,2456,0
140,2041,3625,3635,1
141,2400,830,2446,1
142,3989,3158,1708,0
143,2323,1612,532,1
144,514,510,995,0
145,5975,2324,1476,0
146,3982,957,1653,1
147,3927,1897,2708,0
148,2290,1909,959,1
149,2071,2993,2304,0
150,2447,3555,1596,1
151,448,1518,763,1
152,1242,3475,1110,1
153,2507,187,1743,1
154,571,2529,3062,1
155,5505,294,512,1
156,4137,1822,2304,1
157,5135,633,3560,0
158,256,2614,1633,0
159,935,2257,2250,0
160,4439,2797,1903,0
161,4102,1933,40,1
162,1863,2441,2313,0
163,4236,1223,1067,1
164,5893,641,1785,0
165,2683,207,3600,1
166,2544,3686,1903,0
167,961,2363,3532,1
168,2562,1351,3483,0
169,5389,287,3212,0
170,5838,2980,1049,0
171,583,1757,3086,1
172,4368,2804,3151,1
173,5054,150,170,1
174,2248,3635,3287,0
175,2339,542,2596,0
176,1178,1417,241,1
177,2518,1128,474,0
178,4026,3435,3145,1
179,4833,916,406,1
180,3500,28,2321,1
181,2455,569,3474,0
182,2624,1915,1524,1
183,2427,972,583,1
184,1643,1900,3292,0
185,4210,2080,2773,0
186,4734,2297,1213,1
187,1940,3589,888,0
188,5454,406,2026,0
189,1215,3689,1986,1
190,733,3192,1201,1
191,1673,2740,1405,0
192,5914,286,609,0
193,2037,2697,3679,0
194,2152,3003,1065,0
195,6036,3094,3127,1
196,681,1856,278,0
197,4444,75,2272,1
198,4607,2331,2032,1
199,5834,1154,1318,0
200,5778,2303,1931,1
201,3262,3582,1281,1
202,2405,2695,1074,0
203,5411,1281,1465,0
204,3208,199,1414,0
205,2348,2370,1961,0
206,3044,964,314,1
207,3540,2462,1681,0
208,5133,2492,3118,1
209,2619,3523,2116,0
210,446,3357,319,1
211,4719,3218,299,1
212,2006,3480,1503,1
213,3151,1961,2110,1
214,1016,2282,1438,0
215,5884,3542,723,0
216,2137,1451,314,1
217,3546,679,3260,0
218,4298,734,826,0
219,5149,3435,3420,0
220,1276,2129,1760,1
221,3881,2099,276,0
222,4085,2274,18,1
223,1302,2459,1629,1
224,2409,3636,423,1
225,3766,1888,1839,0
226,801,2794,3186,0
227,2458,1367,307,1
228,4629,1856,362,0
229,3687,775,604,0
